1,Sorry Not Sorry,Demi Lovato
2,Feel It Still,Portugal. The Man
3,Strip That Down,Liam Payne Featuring Quavo
4,1-800-273-8255,Logic Featuring Alessia Cara & Khalid
5,Attention,Charlie Puth
6,Slow Hands,Niall Horan
7,Look What You Made Me Do,Taylor Swift
8,What Lovers Do,Maroon 5 Featuring SZA
9,Unforgettable,French Montana Featuring Swae Lee
10,No Promises,Cheat Codes Featuring Demi Lovato
11,Praying,Kesha
12,Thunder,Imagine Dragons
13,There's Nothing Holdin' Me Back,Shawn Mendes
14,What About Us,P!nk
15,Too Good At Goodbyes,Sam Smith
16,Bad At Love,Halsey
17,Havana,Camila Cabello Featuring Young Thug
18,Perfect,Ed Sheeran
19,New Rules,Dua Lipa
20,...Ready For It?,Taylor Swift
21,Mi Gente,J Balvin & Willy William Featuring Beyonce
22,Lights Down Low,MAX Featuring gnash
23,Love So Soft,Kelly Clarkson
24,Rockstar,Post Malone Featuring 21 Savage
25,Bodak Yellow (Money Moves),Cardi B
26,How Long,Charlie Puth
27,Wild Thoughts,DJ Khaled Featuring Rihanna & Bryson Tiller
28,Let Me Go,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt
29,Why,Sabrina Carpenter
30,Young Dumb & Broke,Khalid
31,Do Re Mi,Blackbear
32,Macklemore Featuring Kesha,New
33,Too Much To Ask,Niall Horan
34,Find You,Nick Jonas
35,He Like That,Fifth Harmony
36,Dusk Till Dawn,Zayn Featuring Sia
37,Friends,Justin Bieber + BloodPop
38,Location,Khalid
39,I Like Me Better,Lauv
40,Silence,Marshmello Featuring Khalid
